Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,985.849976,986.349976,946.700012,953.200012,938.018799,1366241
2018-06-26,952.000000,972.500000,916.549988,967.049988,951.648254,2224769
2018-06-27,973.700012,986.599976,945.349976,973.150024,957.651123,2198459
2018-06-28,971.000000,979.799988,949.049988,953.000000,937.821960,1169352
2018-06-29,958.049988,994.799988,958.049988,986.900024,971.182190,1049747
2018-07-02,993.000000,998.400024,979.500000,991.150024,975.364502,964096
2018-07-03,985.150024,1008.799988,981.099976,1004.549988,988.551025,898479
2018-07-04,1009.750000,1016.200012,1001.200012,1008.250000,992.192078,789424
2018-07-05,1020.599976,1020.950012,984.950012,998.700012,982.794250,1052202
2018-07-06,1002.000000,1005.000000,983.000000,993.450012,977.627808,733238
2018-07-09,1001.700012,1019.500000,988.000000,1011.950012,998.849426,993618
2018-07-10,1016.000000,1052.000000,1016.000000,1036.300049,1025.925659,1776116
2018-07-11,1041.849976,1068.699951,1024.000000,1048.349976,1037.854980,3249608
2018-07-12,1054.300049,1082.400024,1032.849976,1076.849976,1066.069580,2124658
2018-07-13,1080.000000,1091.699951,1052.250000,1066.800049,1056.120483,2359391
2018-07-16,1065.000000,1087.000000,1052.099976,1080.650024,1069.831543,1737976
2018-07-17,1084.000000,1093.500000,1066.099976,1081.000000,1070.178101,2392150
2018-07-18,1086.000000,1099.900024,1045.000000,1061.800049,1051.170288,3014790
2018-07-19,1046.000000,1053.250000,932.349976,971.150024,961.427856,13385207
2018-07-20,974.900024,1004.900024,971.299988,976.849976,967.070740,5575914
2018-07-23,979.000000,986.200012,934.450012,959.700012,950.092529,2253510
2018-07-24,957.099976,989.950012,949.549988,970.400024,960.685364,2108627
2018-07-25,971.000000,980.500000,950.000000,957.400024,947.815491,1469299
2018-07-26,954.000000,958.950012,941.000000,947.250000,937.767090,1358221
2018-07-27,948.000000,954.049988,935.000000,938.049988,928.659241,1020257
2018-07-30,940.000000,942.400024,911.700012,915.500000,906.334961,1340951
2018-07-31,915.700012,937.900024,907.500000,932.299988,922.966797,1145078
2018-08-01,934.349976,958.000000,934.250000,954.900024,945.340576,1316554
2018-08-02,955.049988,969.000000,943.799988,952.549988,943.014038,1243826
2018-08-03,954.500000,964.900024,949.000000,958.900024,949.300415,745682
2018-08-06,959.000000,967.000000,950.000000,954.349976,944.795959,685670
2018-08-07,955.000000,957.900024,940.799988,948.049988,938.559082,762140
2018-08-08,955.000000,969.000000,945.150024,961.250000,951.626953,1108558
2018-08-09,960.150024,961.450012,937.799988,945.599976,936.133606,520026
2018-08-10,947.200012,963.000000,947.200012,952.000000,942.469482,803568
2018-08-13,947.049988,987.900024,947.049988,982.900024,973.060242,1586103
2018-08-14,988.900024,1015.000000,982.000000,1009.750000,999.641418,1934802
2018-08-16,1008.500000,1055.000000,1007.000000,1039.849976,1029.440063,2437936
2018-08-17,1040.650024,1049.250000,1013.400024,1028.900024,1018.599731,1527741
2018-08-20,1028.000000,1042.599976,1020.549988,1036.500000,1026.123657,775260
2018-08-21,1044.000000,1056.800049,1027.349976,1037.800049,1027.410522,1328197
2018-08-23,1037.949951,1048.800049,1030.199951,1038.949951,1028.549072,819502
2018-08-24,1041.000000,1042.000000,1008.000000,1013.299988,1003.155823,1276706
2018-08-27,1019.000000,1054.000000,1015.250000,1050.050049,1039.538086,1345331
2018-08-28,1050.000000,1064.000000,1033.250000,1038.650024,1028.252197,1213587
2018-08-29,1037.949951,1041.599976,1024.000000,1035.150024,1024.787109,994497
2018-08-30,1034.000000,1059.900024,1033.400024,1052.050049,1041.518066,1630536
2018-08-31,1055.000000,1118.000000,1055.000000,1114.699951,1103.540649,2986418
2018-09-03,1127.000000,1156.699951,1095.300049,1100.550049,1089.532471,4400570
2018-09-04,1109.400024,1139.000000,1100.150024,1117.949951,1106.758179,2942441
2018-09-05,1126.000000,1157.550049,1110.550049,1150.900024,1139.378418,2485465
2018-09-06,1157.000000,1165.949951,1131.500000,1158.000000,1146.407227,1964650
2018-09-07,1155.000000,1174.900024,1146.000000,1161.949951,1150.317749,1670124
2018-09-10,1160.000000,1176.949951,1138.300049,1146.650024,1135.170898,1347238
2018-09-11,1146.650024,1183.800049,1145.349976,1161.300049,1149.674316,2948977
2018-09-12,1165.000000,1173.449951,1134.400024,1146.250000,1134.775024,1476368
2018-09-14,1150.000000,1152.000000,1122.300049,1144.349976,1132.893921,1073282
